SEASON_ID,PLAYER_ID,TEAM_ID ,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3
19,52,9,74,19.6,4.3,1.7,4.2,39.8,0.3,1.3,25.8,0.6,0.8,75,0.6,1.9,2.5,1.2,0.6,0.5,0.5,2.4,11.6,0,0
19,53,15,34,23.5,8.3,2.8,6.6,42.7,1.4,3.8,36.9,1.2,1.5,84,1.2,3.4,4.6,1.5,1.1,0.4,1,2.4,19.1,3,0
19,54,27,82,28,11.8,4.4,9.6,45.6,2.1,5,42.6,0.8,1,88.5,0.2,2.7,2.9,2.1,1,0.5,0,1.9,19.3,1,0
19,55,26,82,31.9,20.7,7.6,16.6,45.8,3.4,7.9,42.7,2.1,2.4,88.6,1.3,3.7,5,2.5,1.8,0.7,0.4,2.5,32,3,0
19,56,18,15,8.5,2.6,1.1,2.3,48.6,0.3,1.1,31.3,0,0.1,0,0.1,0.5,0.5,0.8,0.3,0.4,0,1.1,5.3,0,0
19,57,26,70,33.9,21,8.2,17.8,45.9,2.4,6.4,37.5,2.3,2.7,82.8,0.9,3.1,4,3,1.5,0.8,0.4,2.5,32.3,1,1
19,58,6,53,16.2,6.4,2.1,5.9,36,1.3,3.8,33,0.9,1.1,82.8,0.2,1.5,1.8,0.7,0.6,0.5,0.3,1.5,11.3,0,0
19,59,18,21,8.5,2,0.9,2.5,34,0,0.3,14.3,0.3,0.4,66.7,0.8,2.2,3,0.5,0.9,0.3,0,1.3,6.6,1,0
19,60,3,40,17.8,6.3,2.4,5.6,43,0.6,2.1,29.8,0.8,1,80.5,0.3,1.5,1.8,2.7,1.1,0.7,0.2,1.6,14,0,0
19,61,11,19,13.7,5,1.7,4.1,42.3,1.1,2.7,41.2,0.4,0.5,88.9,0.2,1.4,1.6,0.7,0.3,0.3,0.1,1.4,9,0,0
19,62,6,40,26.6,13.7,5.2,12.1,42.9,1.2,3.9,31.2,2.1,3.1,69.1,0.9,2.9,3.8,3.9,1.7,1.1,0.4,1.9,26.5,0,0
19,63,5,10,29.4,13.4,4.9,12.1,40.5,2.1,6.4,32.8,1.5,2.2,68.2,0.9,4.5,5.4,0.5,0.8,0.4,0.7,3.2,23.1,0,0
19,64,15,76,32.2,13,4.7,11.1,42.7,1.7,4.9,34.8,1.9,2.4,77.9,0.6,4.1,4.7,2.6,1.5,0.8,0.1,2.6,23.8,3,0
19,65,6,44,20.3,5.2,2.2,4.8,45.9,0.3,1.1,28,0.5,0.9,60.5,0.7,3.5,4.2,0.8,0.6,0.5,0.1,1.3,12.8,1,0
19,66,30,25,19.8,7.5,2.7,7.3,37.4,1.2,3.8,30.9,0.9,1,88,0.2,2.6,2.8,1.7,1.3,0.8,0.2,1.8,15,0,0
19,67,19,36,9.5,3.6,1.2,3.3,36.8,0.9,2.2,40.5,0.3,0.4,78.6,0.1,1.3,1.4,0.6,0.4,0.2,0.1,1.2,6.7,0,0
19,68,27,49,15.2,5.5,1.9,4.4,41.9,0.9,2.3,40,0.9,1.3,69.4,0.2,0.9,1.1,2,0.9,0.5,0.1,1.9,10.7,0,0
19,69,28,64,14,6,2.6,4.2,62,0,0.1,25,0.8,1,74.6,1.2,4,5.2,0.5,0.8,0.5,0.5,1.8,15.2,10,0
19,70,11,29,5,1.8,0.7,2,32.8,0,0.1,0,0.4,0.6,76.5,0.3,0.9,1.2,0.4,0.5,0.2,0.1,0.5,4.2,0,0
19,71,11,28,5.8,3.3,1.2,2.7,44.7,0.4,1.3,32.4,0.5,0.5,86.7,0.6,1.4,2,0.1,0.3,0.2,0.9,1.1,8.8,1,0
19,72,19,7,4.6,0.9,0.3,1.1,25,0.3,0.7,40,0,0,0,0.1,0.4,0.6,0.6,0.1,0.1,0.1,0.3,3.1,0,0
19,73,25,58,32,15.6,5.2,12.4,41.9,2.2,6.1,35.8,3,3.5,86.2,0.6,3.9,4.6,8.2,2.6,2,0.3,2.5,37.5,18,1
19,74,15,21,11.9,8.2,2.9,5.6,52.1,0.4,1.2,34.6,2,2.7,73.2,0.8,3.1,4,0.4,0.8,0.3,0.5,0.8,15.1,2,0
19,75,11,67,33.6,16.6,7.1,10.9,64.8,0,0,0,2.5,3.9,63.6,4.4,8.2,12.7,1.4,1.4,0.7,1.5,2.5,39.1,45,0
19,76,4,49,25.4,10.1,3.9,7,55.1,0.1,0.4,27.3,2.3,2.9,78.7,2.2,4.6,6.8,2.1,1.3,0.8,0.8,3.3,25,4,0
19,77,6,82,31.8,16.7,6.3,14.7,43,1.5,3.6,40.2,2.6,3.1,83.9,0.7,2.2,2.9,3,2.3,0.5,0.1,2.3,24.2,2,0
19,78,26,31,15.9,4.9,1.7,4,43.1,0.5,1.4,31.8,1,1.4,72.1,0.8,1.6,2.5,1.3,0.6,1,0.2,2,12.9,0,0
19,79,12,82,25.2,6.5,2.8,6.7,41.2,0.7,2.1,32.2,0.4,0.5,69.8,0.5,2.9,3.4,3.9,1,1.1,0.3,1.6,19.8,1,0
19,80,7,34,12.6,4,1.6,3.8,41.1,0.5,1.6,29.1,0.4,0.6,66.7,0.3,1.3,1.6,1.1,0.4,0.6,0.1,0.9,9.2,0,0
19,81,5,60,12.4,4,1.6,3,53.1,0,0.1,0,0.8,1.2,68.5,1.3,2.3,3.6,0.6,0.6,0.2,0.1,1.2,9.6,0,0
19,82,22,81,30.2,21.1,8.1,18.7,43.4,2.9,7.8,36.9,2,2.5,78,0.7,3.2,3.9,7,3.1,1.2,0.2,1.7,37.5,14,0
19,83,17,81,28,11.7,3.9,8.4,47,1.6,3.8,42.1,2.2,2.6,86.6,0.5,2,2.5,5.3,1.6,0.6,0,1.4,23.1,4,0
19,84,19,48,18.4,5.8,2.2,5.2,41.4,1,2.6,36.2,0.5,1,55.3,0.9,3.7,4.6,1.1,0.7,0.4,0.4,1.8,14.7,2,0
19,85,10,1,6.7,2,1,2,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0
19,86,25,12,13.9,2.8,1,3.9,25.5,0.8,2.8,29.4,0,0,0,0.2,0.6,0.8,0.8,0.2,0.1,0,0.6,5.1,0,0
19,87,10,24,17.1,5.4,2.2,3.1,71.6,0,0,0,1,1.5,64.9,1.3,1.8,3.1,1.2,0.7,0.5,1,2.6,14.9,0,0
19,88,20,80,35.5,25.8,8.5,19.2,44.4,3,8,36.9,5.9,6.4,91.2,0.9,3.8,4.6,6.9,2.7,1.1,0.4,1.9,43.7,13,0
19,89,3,32,11.7,4.9,1.8,4,44.1,0.8,2.1,39.7,0.6,0.7,86.4,0.3,1.8,2,0.4,0.3,0.4,0,0.9,8.8,0,0
19,90,1,73,27.4,10.7,4,9.6,41.5,1.7,4.7,36.8,1,1.3,74.5,0.5,3.1,3.6,1.8,1,0.8,0.1,1.8,19.6,1,0
19,91,2,19,10.7,3,1.2,3.2,38.3,0.4,1.2,34.8,0.2,0.3,50,0.5,1.9,2.5,1.2,0.8,0.3,0.1,1,8,0,0
19,92,13,66,13.8,5.7,2.2,4,54.9,0.4,1,38.8,0.8,1.2,73.7,1.3,2.1,3.4,1,0.5,0.3,0.6,2.4,13.7,1,0
19,93,28,68,30.3,19.8,6,13,46.3,2.4,5.5,43.3,5.4,6,90.4,0.8,5.3,6.1,2.6,1.5,0.7,0.3,1.9,32.8,7,0
19,94,27,80,27.7,10.3,3.7,7.9,46.5,2.5,5.4,45.5,0.5,0.6,84.1,0.8,3.2,4,1.6,0.9,0.9,0.7,2.1,21.2,1,0
19,95,29,64,14.5,3,1.2,2.5,47.5,0.5,1,46.2,0.2,0.3,77.8,0.8,2.2,2.9,0.8,0.3,0.4,0.2,1.1,9.3,0,0
19,96,11,42,15.8,6.9,2.4,5.7,41.9,0.4,1.5,29,1.6,2,79.1,0.4,1.2,1.6,2.6,1.2,0.3,0.1,1.6,12.8,1,0
19,97,18,39,25.1,9.4,3,6.5,46.8,1.9,4.6,41.6,1.4,1.8,78.9,0.6,2.9,3.6,1,0.9,0.5,0.3,2.1,16.8,0,0
