SEASON_ID,PLAYER_ID,TEAM_ID,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,
19,225,13,6,23.5,11,3.8,7.2,53.5,2,3.8,52.2,1.3,1.7,80,1,4.3,5.3,0.8,1.8,0.7,0,3.7,18.8,0,0,
19,226,3,4,20.6,3,0.8,2.8,27.3,0.5,2.3,22.2,1,1,100,0,0.5,0.5,2.8,1,0.8,0.3,2.5,9.7,0,0,
19,228,22,3,6.1,3.3,1.3,3,44.4,0.7,2.3,28.6,0,0.7,0,0.3,0.3,0.7,0.3,0,0,0.3,0.3,5.6,0,0,
19,231,8,3,1.6,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0.3,0,1.4,0,0,
19,232,3,5,22,11,3.8,6.4,59.4,0,0,0,3.4,4,85,3,3.8,6.8,2.2,1.6,0.6,0.6,2.6,24.5,0,0,
19,237,2,9,30.4,13.9,4.9,9.7,50.6,1.6,4.4,35,2.6,3.3,76.7,0.7,5.1,5.8,1.1,1.8,0.7,0.2,3.3,23.4,0,0,
19,239,2,9,32.8,15.2,5.4,12.4,43.8,1.1,3.4,32.3,3.2,4.3,74.4,0.8,5.9,6.7,1.9,2,1.1,0.8,2.3,29.7,2,0,
19,243,21,5,35.2,11.6,4,8,50,1.8,4,45,1.8,2.6,69.2,1.2,4.2,5.4,0.8,0.8,0.6,2,2.6,26.3,0,0,
19,245,28,8,3.4,1.1,0.3,1.1,22.2,0.1,0.3,50,0.5,0.5,100,0,0.4,0.4,0.5,0.6,0.1,0,0.3,2.1,0,0,
19,246,22,3,4.7,1.7,0.7,3.3,20,0,2.3,0,0.3,0.3,100,0,1.3,1.3,1,0.3,0,0,0.3,4.4,0,0,
19,247,13,5,9.2,3.6,1,2.8,35.7,0.6,1.2,50,1,1,100,0.4,0.8,1.2,1.4,0.2,0.4,0,0.8,8.1,0,0,
19,251,23,12,35.1,19.4,6.6,14.6,45.1,1,3.8,26.7,5.3,6,87.5,1.8,4.2,6,5.2,1.8,1.5,0.6,1.7,38.8,2,0,
19,252,23,12,31.3,13.4,4.5,10.3,43.5,3,7.3,41.4,1.4,1.7,85,0.2,1.3,1.5,1.6,1.8,0.1,0.3,2.7,16.8,0,0,
19,254,28,14,4.8,1.6,0.6,2.1,31,0.1,0.9,15.4,0.1,0.2,66.7,0,0.6,0.6,0.1,0.2,0.3,0.1,0.5,3.3,0,0,
19,256,3,5,29.9,8.8,3.2,8.6,37.2,0.8,4.2,19,1.6,1.6,100,1.2,3,4.2,0.6,1.8,0.6,0,2.4,14.7,0,0,
19,257,29,5,30.1,6.4,2.4,7.4,32.4,1.6,5.8,27.6,0,0,0,0.6,4.2,4.8,5,1.6,2.2,0,2.8,24.7,0,0,
19,258,23,11,30.4,20.2,6.2,14.5,42.8,1.1,3.5,30.8,6.7,8.2,82.2,1.9,8.5,10.5,3.4,3.6,0.7,2.3,3.1,43.1,7,0,
19,266,9,1,4.9,2,1,2,50,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,
19,267,23,10,7.9,1.6,0.5,1.9,26.3,0.4,1.6,25,0.2,0.4,50,0.4,1,1.4,0.3,0.9,0.2,0.1,1.2,3.7,0,0,
19,268,10,16,7.6,2.1,0.8,2.6,28.6,0.3,1.2,26.3,0.3,0.4,83.3,0.9,1.2,2.1,0.8,0.1,0.1,0.1,0.6,6.2,0,0,
19,270,22,5,27.3,6.6,2.2,8,27.5,0.8,4,20,1.4,1.6,87.5,2,4.2,6.2,0.4,1,0.4,1,1.8,17.8,0,0,
