SEASON_ID,PLAYER_ID,TEAM_ID ,OFFRTG,DEFRTG,NETRTG,AST%,OREB%,DREB%,REB%,EFG%,TS%,USG%,PACE,PIE
19,320,14,108.4,109.7,-1.3,11.3,2.5,12.7,7.7,51.5,54.6,23.3,104.67,9.6
19,321,28,116.2,105.5,10.7,32.9,1.9,11.4,6.9,51.8,56.2,19.1,101.37,11.5
19,322,12,106.7,107,-0.3,20.4,7.8,21.6,15.1,51.1,53.7,19.6,103.91,11.1
19,323,2,113.4,107.1,6.2,33,3.1,11.3,7.2,55.7,59.2,28.6,102.01,15.7
19,324,27,112.5,111,1.5,11.5,9.6,18,13.9,52.2,57.6,26.8,98.36,14.3
19,325,14,103.9,108.4,-4.5,17.5,2.6,15,8.8,51,52.9,19.7,106.43,8.8
19,326,20,97.1,107.9,-10.9,5.1,2.3,11.5,6.8,45.2,48.2,12.7,102.08,4.3
19,327,13,111,109.3,1.7,9,1.1,6,3.6,58.1,60.4,14.5,103.64,6.3
19,328,9,108,107.9,0.1,7.2,2.5,7,4.7,50.3,53.4,15.3,99.96,6.3
19,329,6,105.8,114.6,-8.8,17.9,9,22.4,15.4,55.4,58.3,15.2,97.93,12.3
19,330,5,106.8,112.3,-5.5,7,4.3,23.4,13.8,50.6,55.3,24.5,99.33,12.5
19,331,14,109.6,107.6,2,37.6,2.9,19.3,11.4,56,58.8,31.1,104.12,18.8
19,332,27,87.4,111.7,-24.3,14.3,0,12.2,6.5,40.2,44.6,19.6,102.28,8.3
19,333,14,105.3,106.1,-0.7,23.6,3.6,12.4,8.1,48.8,48.7,16.7,104.67,8.7
19,334,28,93.5,100.4,-7,19.9,2.1,11,6.6,36.6,38,16.7,104.28,5.4
19,335,13,113.1,109.2,3.9,31.8,1.9,8.1,5.1,47.1,55.4,30.8,105.69,14.7
19,336,13,107.1,99.3,7.8,4.5,3.4,6.5,5.1,50,49.5,14.1,110.95,2.8
19,337,7,107.6,110.6,-3.1,31.7,3.6,19.8,11.7,49.7,54.5,29.6,100.99,14.9
19,338,9,108.5,108.2,0.3,12.2,0.8,12.1,6.2,54,56,17.9,97.34,9
19,339,20,102.5,106,-3.5,10.8,3.3,12.3,7.9,50.2,53.1,17.8,101.94,9.3
19,340,18,115.1,105.1,10,6.2,4.9,12.5,8.8,55.9,58.8,15.5,100.84,9.3
19,341,28,91.6,96.2,-4.6,0,1.6,8.7,5.2,44.8,48.1,14.2,110.46,0.3
19,342,17,113.4,102.7,10.7,15.7,3.5,10.7,7.3,57.5,61.4,20.2,104.93,12
19,343,28,105.5,110.2,-4.7,2.4,1.5,4.8,3.4,61.5,63,18,104.8,6.9
19,344,8,111.2,107.3,3.9,7.4,1.8,8.5,5.1,58.4,59.9,18.1,100.59,8.9
19,345,4,108.4,111.1,-2.7,14.3,1.2,9.5,5.2,48,51.8,23.6,102.17,7.3
