PLAYER_ID,PLAYER_NAME,TEAM,AGE,HEIGHT,WEIGHT,DRAFT YEAR,,EXPERIENCE,TEAM_ID ,,,,,,,,,,,,,
93,Danny Green,TOR,32,6'6'',215,2009,2019,10,28,,,,,,,,,,,,,
94,Dante Cunningham,SAS,32,6'8'',230,2009,2019,10,27,,,,,,,,,,,,,
95,Dante Exum,UTA,23,6'6'',190,2014,2019,5,29,,,,,,,,,,,,,
96,Danuel House Jr.,HOU,26,6'7'',220,Undrafted,2019,0,11,,,,,,,,,,,,,
97,Dario Saric,MIN,25,6'10'',223,2014,2019,5,18,,,,,,,,,,,,,
98,Darius Miller,NOP,29,6'8'',225,2012,2019,7,19,,,,,,,,,,,,,
99,Darren Collison,IND,31,6'1'',175,2009,2019,10,12,,,,,,,,,,,,,
100,Daryl Macon,DAL,23,6'3'',185,Undrafted,2019,0,7,,,,,,,,,,,,,
101,David Nwaba,CLE,26,6'4'',219,Undrafted,2019,0,6,,,,,,,,,,,,,
102,Davis Bertans,SAS,26,6'10'',225,2011,2019,8,27,,,,,,,,,,,,,
103,Davon Reed,IND,24,6'5'',208,2017,2019,2,12,,,,,,,,,,,,,
104,De'Aaron Fox,SAC,21,6'3'',175,2017,2019,2,26,,,,,,,,,,,,,
105,Deandre Ayton,PHX,20,7'1'',250,2018,2019,1,24,,,,,,,,,,,,,
106,DeAndre' Bembry,ATL,24,6'6'',210,2016,2019,3,1,,,,,,,,,,,,,
107,DeAndre Jordan,NYK,30,6'11'',265,2008,2019,11,20,,,,,,,,,,,,,
108,De'Anthony Melton,PHX,21,6'4'',200,2018,2019,1,24,,,,,,,,,,,,,
109,Delon Wright,MEM,27,6'5'',183,2015,2019,4,15,,,,,,,,,,,,,
110,DeMar DeRozan,SAS,29,6'7'',220,2009,2019,10,27,,,,,,,,,,,,,
111,DeMarcus Cousins,GSW,28,6'11'',270,2010,2019,9,10,,,,,,,,,,,,,
112,DeMarre Carroll,BKN,32,6'8'',215,2009,2019,10,3,,,,,,,,,,,,,
113,Demetrius Jackson,PHI,24,6'1'',201,2016,2019,3,23,,,,,,,,,,,,,
114,Deng Adel,CLE,22,6'7'',200,Undrafted,2019,0,6,,,,,,,,,,,,,
115,Dennis Schroder,OKC,25,6'1'',172,2013,2019,6,21,,,,,,,,,,,,,
116,Dennis Smith Jr.,NYK,21,6'3'',195,2017,2019,2,20,,,,,,,,,,,,,
117,Deonte Burton,OKC,25,6'5'',245,Undrafted,2019,0,21,,,,,,,,,,,,,
118,Derrick Favors,UTA,27,6'10'',265,2010,2019,9,29,,,,,,,,,,,,,
119,Derrick Jones Jr.,MIA,22,6'7'',200,Undrafted,2019,0,16,,,,,,,,,,,,,
120,Derrick Rose,MIN,30,6'3'',200,2008,2019,11,18,,,,,,,,,,,,,
